"app_id";"page_id";"item_name";"value_en";"value_cz";"value_sk";"value_pl";"value_hu"
770;0;"BUTTON_AUTO_UPDATE";"Auto Update";"Automatická aktualizace";"Automatická aktualizácia";"Automatyczna aktualizacja";"Automatikus frissítés"
770;0;"BUTTON_BUTTON_CLOSE_SEARCH";"Close Search";"Zavřít vyhledávání";"Zatvoriť vyhľadávanie";"Wyszukiwanie ścisłe";"Bezár keresés"
770;0;"BUTTON_BUTTON_SHOW_SEARCH";"Search";"Vyhledávání";"Vyhľadávanie";"Szukaj na stronie";"Keresés"
770;0;"BUTTON_PROCESS_SELECTED";"Process Selected";"Vybraný proces";"Vybraný proces";"Wybrany proces";"Kiválasztott folyamat"
770;0;"BUTTON_REFRESH";"Refresh";"Obnovit";"Obnoviť";"Odśwież";"Frissítés"
770;0;"BUTTON_SEARCH";"Search";"Vyhledávání";"Vyhľadávanie";"Szukaj na stronie";"Keresés"
770;0;"BUTTON_SUBMIT";"Submit";"Odeslat";"Odoslať";"Wyślij";"Küldje be a"
770;0;"BUTTON_TODAY_LEFT";"Previous Day";"Předchozí den";"Predchádzajúci deň";"Poprzedni Dzień";"Előző nap"
770;0;"BUTTON_TODAY_RIGHT";"Next Day";"Další den";"Nasledujúci deň";"Następny dzień";"Következő nap"
770;0;"BUTTON_TODAY_SET";"Set Current Date";"Nastavit aktuální den";"Nastavenie aktuálneho dátumu";"Ustaw bieżącą datę";"Aktuális dátum beállítása"
770;0;"COLUMN_ACTION_CHECK";"Check";"Kontrola";"Skontrolujte stránku";"Sprawdź";"Ellenőrizze a  címet."
770;0;"COLUMN_ACTIVE";"Active";"Aktivní";"Aktívne";"Aktywny";"Aktív"
770;0;"COLUMN_CREATED_AT";"Created At";"Vytvořeno";"Vytvorené v";"Utworzono w";"Létrehozva"
770;0;"COLUMN_CREATED_BY";"Created By";"Vytvořil";"Vytvoril";"Stworzone przez";"Létrehozta"
770;0;"COLUMN_DEFAULT_VALUE";"Default Value";"Výchozí hodnota";"Predvolená hodnota";"Wartość domyślna";"Alapértelmezett érték"
770;0;"COLUMN_DESC";"Description";"Popis";"Popis";"Opis";"Leírás"
770;0;"COLUMN_DESCRIPTION";"Description";"Popis";"Popis";"Opis";"Leírás"
770;0;"COLUMN_ERRORS";"Errors";"Chyby";"Chyby";"Błędy";"Hibák"
770;0;"COLUMN_EVENTS";"Events";"Události";"Podujatia";"Wydarzenia";"Események"
770;0;"COLUMN_GROUP";"Group";"Skupina";"Skupina";"Grupa";"Csoport"
770;0;"COLUMN_LANG_ID";"Lang";"Jazyk";"Lang";"Lang";"Lang"
770;0;"COLUMN_LOGS";"Logs";"Protokoly";"Protokoly";"Dzienniki";"Naplók"
770;0;"COLUMN_NAME";"Name";"Název";"Názov";"Nazwa";"Név"
770;0;"COLUMN_ORDER";"Order#";"Pořadí";"Objednávka#";"Order#";"Rendszám"
770;0;"COLUMN_PAGE_ID";"Page Id";"Stránka";"Strana Id";"Strona Id";"Oldal Id"
770;0;"COLUMN_REQUESTS";"Requests";"Žádosti";"Žiadosti";"Zapytania";"Kérések"
770;0;"COLUMN_ROLE_GROUP";"Role Group";"Skupina rolí";"Skupina rolí";"Grupa ról";"Szerepcsoport"
770;0;"COLUMN_ROLE_ID";"Role Id";"Identifikace role";"Identifikátor úlohy";"Rola Id";"Szerepazonosító"
770;0;"COLUMN_ROLE_NAME";"Role Name";"Název role";"Názov úlohy";"Nazwa roli";"Szerep neve"
770;0;"COLUMN_ROLES";"Roles";"Role";"Úlohy";"Role";"Szerepek"
770;0;"COLUMN_SESSIONS";"Sessions";"Relace";"Relácie";"Sesje";"Ülések"
770;0;"COLUMN_UPDATED_AT";"Updated At";"Aktualizováno (kdy)";"Aktualizované na";"Zaktualizowano na";"Frissítve"
770;0;"COLUMN_UPDATED_BY";"Updated By";"Aktualizováno (kým)";"Aktualizované podľa";"Updated By";"Frissítette"
770;0;"COLUMN_USER_ID";"User Id";"Id uživatele";"Id používateľa";"Id użytkownika";"Felhasználói azonosító"
